,user_id,order_date,point,comment,order_no,order_item
0,lo,2020년 11월 23일,5,배달도 양도 맛도 쵝오인데 너무맛있는당면 추가있었으면해요,9181,궁중식 순살찜닭
1,ni,2020년 11월 23일,4,무난무난 쉐플리 ㅇㅇ,9180,허니갈릭 닭가슴살 시저샐러드
2,qk,2020년 11월 23일,3,뭔가 고기에 양념이 안 스며든 느낌 ㅠㅠ 양은 많아욥,9179,궁중식 순살찜닭
3,dk,2020년 11월 23일,5,빠른 배달 감사합니다.,9178,두툼한 통등심 가츠동
4,ji,2020년 11월 23일,5,맛있어요 ㅋㅋㅋㅋ 넘넘만족해용,9177,로스트 치킨과 매콤한 크림리조또
5,ji,2020년 11월 23일,5,맛있어요 ㅋㅋㅋㅋ 넘넘만족해용,9177,계란말이
6,or,2020년 11월 23일,4,맛있게 먹었습니다.... 하지만 계속 먹으면 느끼해져서 지방을 좀 제거한 살을 썼으면 더 맛있었을것 같습니다..,9176,명란마요 가라아게 콤보
7,ji,2020년 11월 23일,5,참 맛있고 배달 빨라요,9175,궁중식 순살찜닭
8,ki,2020년 11월 23일,5,배달도 빠르고 쿠폰써서 가격도 좋았고 맛있게 잘 먹었어요<U+0001F44D> 돈까쓰가 두툼하고 부드럽고 간도 딱~! 맛있게 먹었어요<U+0001F601>,9174,두툼한 통등심 가츠동
9,im,2020년 11월 23일,3,짜요짜 김치를 많이,9173,비빔명란 가라아케동
10,av,2020년 11월 23일,5,따뜻하게 도착했고 간이 세지도 않고 딱 적당해서 맛있었어요~ 잘 먹었습니다 ♡_♡,9172,순살 새우치킨 콤보 (소이)
11,co,2020년 11월 23일,5,잘먹었습니다 고기냄새도안나고 아주 좋아요,9171,궁중식 순살찜닭
12,co,2020년 11월 23일,5,잘먹었습니다 고기냄새도안나고 아주 좋아요,9171,코카콜라
13,so,2020년 11월 23일,3,안매콤해서 실망 느끼,9170,로스트 치킨과 매콤한 크림리조또
14,ol,2020년 11월 23일,5,맛있고 배달 좋았어요!,9169,순살 새우치킨 콤보 (양념)
15,hy,2020년 11월 23일,5,<U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D>,9168,대패삼겹덮밥
16,hy,2020년 11월 23일,5,<U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D>,9168,명란마요 가라아게 콤보
17,gp,2020년 11월 23일,5,맛있었어요 근데 씨푸드나고렝만 먹었다면 좀 느끼하고 그랬을거같은데 가라아케랑 같이먹으니까 맛있었어요,9167,씨푸드 나시고랭
18,gp,2020년 11월 23일,5,맛있었어요 근데 씨푸드나고렝만 먹었다면 좀 느끼하고 그랬을거같은데 가라아케랑 같이먹으니까 맛있었어요,9167,명란마요 가라아게
19,lj,2020년 11월 23일,5,항상 시켜먹는 메뉴에요^^,9166,로스트 치킨과 매콤한 크림리조또
20,yo,2020년 11월 23일,5,잘받았어요 감사합니다,9165,모둠나물 제육비빔밥
21,fi,2020년 11월 23일,5,항상 깔끔하고 맛도좋고 비쥬얼도 좋네요.,9164,매콤대패삼겹덮밥
22,fi,2020년 11월 23일,5,항상 깔끔하고 맛도좋고 비쥬얼도 좋네요.,9164,된장국추가
23,fi,2020년 11월 23일,5,항상 깔끔하고 맛도좋고 비쥬얼도 좋네요.,9164,로스트 치킨과 매콤한 크림리조또
24,ja,2020년 11월 23일,3,"배달원은 무뚝뚝 음식만 띡 주고가서 약간 불친절 음식은 뭐 식당에서 먹는 찜닭이랑 비슷하게 구색은 갖췄음ㅋㅋㅋ 당면은 많은편, 단호박 큼지막한거 두덩이, 밤 2개, 표고버섯 자른거 1cm정도되는거 2개, 닭고기 6조각정도. 그래도 다양하게 들어있어서 양은 그래도 괜찮은편. 맛도 있는편. 근데 요청사항은 안보는듯",9163,궁중식 순살찜닭
25,js,2020년 11월 23일,5,돈부리 너무 맛있어요~~,9162,두툼한 통등심 가츠동
26,ji,2020년 11월 23일,5,잘 먹었습니다! :),9161,명란마요 가라아게 콤보
27,ji,2020년 11월 23일,5,잘 먹었습니다! :),9161,계란말이
28,nd,2020년 11월 23일,5,어제먹고 맛있어서 바로 또 시켜먹었어요 잘 먹었습니다.,9160,매콤대패삼겹덮밥
29,nd,2020년 11월 23일,5,어제먹고 맛있어서 바로 또 시켜먹었어요 잘 먹었습니다.,9160,두툼한 통등심 가츠동
30,vi,2020년 11월 23일,5,흰 부분 없이 밥에 소스가 엄청 잘 버무려져 있어요.. 새우도 통통하고 맛나네요 양도 많고 맛있게 잘 먹었습니다 :D,9159,씨푸드 나시고랭
31,ea,2020년 11월 23일,5,맛있었어요 감사합니다,9158,대패삼겹덮밥
32,9b,2020년 11월 23일,5,배달도 빠르고 음식도 맛있고 잘 먹었습니다~,9157,궁중식 순살찜닭
33,di,2020년 11월 23일,5,맛있었습니다~~~~,9156,대패삼겹덮밥
34,sa,2020년 11월 23일,5,맛있어요 한 그릇 싹싹 건강과 맛을 동시에,9155,어향가지 덮밥
35,sh,2020년 11월 23일,5,시간 되니까 배달 안왔는데도 배달 완료라고 뜨는건 좀 고쳐야 하지 않을까..,9154,소불고기 비빔밥
36,h0,2020년 11월 23일,5,오늘도맛있게잘먹었습니당,9153,두툼한 통등심 가츠동
37,nd,2020년 11월 22일,5,진짜 맛나네요 재주문 100%!,9152,두툼한 통등심 가츠동
38,yo,2020년 11월 22일,5,너무 예쁘게 담겨져오네요^^배달 빠르고 맛있게 먹었어요,9151,씨푸드 나시고랭
39,yo,2020년 11월 22일,5,너무 예쁘게 담겨져오네요^^배달 빠르고 맛있게 먹었어요,9151,소불고기 비빔밥
40,bi,2020년 11월 22일,5,전체적으로 가격 대비 양호합니다. 제 입맛에는 리조또는 다 먹기에는 좀 느끼했고 궁중식 순살찜닭의 구성과 맛이 가장 좋았습니다.,9150,궁중식 순살찜닭
41,bi,2020년 11월 22일,5,전체적으로 가격 대비 양호합니다. 제 입맛에는 리조또는 다 먹기에는 좀 느끼했고 궁중식 순살찜닭의 구성과 맛이 가장 좋았습니다.,9150,두툼한 통등심 가츠동
42,bi,2020년 11월 22일,5,전체적으로 가격 대비 양호합니다. 제 입맛에는 리조또는 다 먹기에는 좀 느끼했고 궁중식 순살찜닭의 구성과 맛이 가장 좋았습니다.,9150,로스트 치킨과 매콤한 크림리조또
43,bi,2020년 11월 22일,5,전체적으로 가격 대비 양호합니다. 제 입맛에는 리조또는 다 먹기에는 좀 느끼했고 궁중식 순살찜닭의 구성과 맛이 가장 좋았습니다.,9150,어향가지 덮밥
44,ge,2020년 11월 22일,5,잘먹었어요 가볍게 치킨 먹을때 안주거리 필요할때 좋아요,9149,순살 새우치킨 콤보 (소이)
45,tw,2020년 11월 22일,5,올만에 먹었는데 여전히 맛있어요!!,9148,대패삼겹덮밥
46,ff,2020년 11월 22일,5,양도 푸짐하고 정말 맛있어요! 트러플 감자튀김의 매력을 이제 알게 되었어요!,9147,그라나파다노 김치볶음밥
47,ff,2020년 11월 22일,5,양도 푸짐하고 정말 맛있어요! 트러플 감자튀김의 매력을 이제 알게 되었어요!,9147,트러플 감자튀김
48,ma,2020년 11월 22일,4,맛있게 잘 먹었습니다,9146,두툼한 통등심 가츠동
49,js,2020년 11월 22일,1,김치가 평소에오다가 오지 않았어요. 국 평소에 따뜻했는데 차갑게 왔어요. 맛 평소와다르게 양념범벅이였고 고기 비린맛이 있었습니다.,9145,대패삼겹덮밥
50,en,2020년 11월 22일,5,나시고랭을 좋아해서 쿠폰있는김에 주문해봤는데 포장도 음식도 넘 깔끔하고 양이 2인분은 되는 것 같아요 ㄷㄷ 반 덜어서 먹고 나머진 내일 먹으려고 보관해놨어요 잘먹었습니다 <U+2764><U+2764>,9144,씨푸드 나시고랭
51,en,2020년 11월 22일,5,나시고랭을 좋아해서 쿠폰있는김에 주문해봤는데 포장도 음식도 넘 깔끔하고 양이 2인분은 되는 것 같아요 ㄷㄷ 반 덜어서 먹고 나머진 내일 먹으려고 보관해놨어요 잘먹었습니다 <U+2764><U+2764>,9144,계란말이
52,ch,2020년 11월 22일,5,처음 주문했는데 맛있네요. 자주 주문할께요.,9143,씨푸드 나시고랭
53,be,2020년 11월 22일,5,빠르게 잘 받았습니다,9142,수원왕갈비 치밥
54,be,2020년 11월 22일,5,빠르게 잘 받았습니다,9142,계란말이
55,hw,2020년 11월 22일,5,잘먹었네요~~ 굿굿!!,9141,수원왕갈비 치밥
56,hw,2020년 11월 22일,5,잘먹었네요~~ 굿굿!!,9141,명란마요 가라아게
57,ch,2020년 11월 22일,5,셰플리 비빔밥은 모두 만족하며 먹는 메뉴~,9140,모둠나물 제육비빔밥
58,ji,2020년 11월 22일,5,맛있어요~~~~~~~,9139,비빔명란 가라아케동
59,ji,2020년 11월 22일,5,맛있어요~~~~~~~,9139,트러플 감자튀김
60,hi,2020년 11월 22일,5,맛있어요 ~배달도 빠르고요~,9138,비빔명란 가라아케동
61,hi,2020년 11월 22일,5,맛있어요 ~배달도 빠르고요~,9138,된장국추가
62,yo,2020년 11월 22일,2,아 ㅡㅡ 제로콜라 추가했는데 일반 코라콜라 왓네,9137,두툼한 통등심 가츠동
63,yo,2020년 11월 22일,2,아 ㅡㅡ 제로콜라 추가했는데 일반 코라콜라 왓네,9137,코카콜라 제로
64,yo,2020년 11월 22일,2,아 ㅡㅡ 제로콜라 추가했는데 일반 코라콜라 왓네,9137,된장국추가
65,ko,2020년 11월 22일,5,요기요에서 가장 많이 찾은 곳인 이유가 있죠,9136,수원왕갈비 치밥
66,ya,2020년 11월 22일,1,다 식어서... 밥알은 딱딱하고 느끼하고 고기는 찹고 짜고...,9135,로스트 치킨과 매콤한 크림리조또
67,ya,2020년 11월 22일,1,다 식어서... 밥알은 딱딱하고 느끼하고 고기는 찹고 짜고...,9135,스타벅스 블랙커피
68,wg,2020년 11월 22일,5,배달도 빠르고 양도 많고 맛있게 잘 먹었습니다!,9134,궁중식 순살찜닭
69,wg,2020년 11월 22일,5,배달도 빠르고 양도 많고 맛있게 잘 먹었습니다!,9134,코카콜라
70,wg,2020년 11월 22일,5,배달도 빠르고 양도 많고 맛있게 잘 먹었습니다!,9134,밥추가
71,xo,2020년 11월 22일,5,셰플리 너무 좋아요 식재료가 고급임이 느껴짐,9133,허니갈릭 닭가슴살 시저샐러드
72,ch,2020년 11월 22일,5,맜있고 배달도 빨라요,9132,궁중식 순살찜닭
73,hj,2020년 11월 22일,5,쿠폰쓰느라 주문했어요 ㅎㅎ 점심에 라면 하나 끓여서 볶음밥이랑 셋이서 배불리 먹었습니다,9131,씨푸드 나시고랭
74,dk,2020년 11월 22일,5,최고였습니다. 또 시킬께요!,9130,두툼한 통등심 가츠동
75,51,2020년 11월 22일,4,혼자 먹기 좋은 양인데 먹다보면 좀 물립니다.,9129,순살 새우치킨 콤보 (소이)
76,of,2020년 11월 22일,5,최고의 식사- 매주 주문합니다,9128,소불고기 비빔밥
77,of,2020년 11월 22일,5,최고의 식사- 매주 주문합니다,9128,로스트 치킨과 매콤한 크림리조또
